original_idx,news,type,length,category_mlc
0,"China had role in Yukos split-up China lent Russia $6bn (£3.2bn) to help the Russian government renationalise the key Yuganskneftegas unit of oil group Yukos, it has been revealed. The Kremlin said on Tuesday that the $6bn which Russian state bank VEB lent state-owned Rosneft to help buy Yugansk in turn came from Chinese banks. The revelation came as the Russian government said Rosneft had signed a long-term oil supply deal with China. The deal sees Rosneft receive $6bn in credits from China CNPC. According to Russian newspaper Vedomosti, these credits would be used to pay off the loans Rosneft received to finance the purchase of Yugansk. Reports said CNPC had been offered 20% of Yugansk in return for providing finance but the company opted for a long-term oil supply deal instead. Analysts said one factor that might have influenced the Chinese decision was the possibility of litigation from Yukos, Yugansk former owner, if CNPC had become a shareholder. Rosneft and VEB declined to comment. The two companies [Rosneft and CNPC] have agreed on the pre-payment for long-term deliveries, said Russian oil official Sergei Oganesyan. There is nothing unusual that the pre-payment is for five to six years. The announcements help to explain how Rosneft, a medium-sized, indebted, and relatively unknown firm, was able to finance its surprise purchase of Yugansk. Yugansk was sold for $9.3bn in an auction last year to help Yukos pay off part of a $27bn bill in unpaid taxes and fines. The embattled Russian oil giant had previously filed for bankruptcy protection in a US court in an attempt to prevent the forced sale of its main production arm. But Yugansk was sold to a little known shell company which in turn was bought by Rosneft. Yukos claims its downfall was punishment for the political ambitions of its founder Mikhail Khodorkovsky. Once the country richest man, Mr Khodorkovsky is on trial for fraud and tax evasion. The deal between Rosneft and CNPC is seen as part of China desire to secure long-term oil supplies to feed its booming economy. China thirst for products such as crude oil, copper and steel has helped pushed global commodity prices to record levels. Clearly the Chinese are trying to get some leverage [in Russia], said Dmitry Lukashov, an analyst at brokerage Aton. They understand property rights in Russia are not the most important rights, and they are more interested in guaranteeing supplies. If the price of oil is fixed under the deal, which is unlikely, it could be very profitable for the Chinese, Mr Lukashov continued. And Rosneft is in desperate need of cash, so it a good deal for them too.",business,443,talk.politics.misc
4,"US bank in $515m SEC settlement Five Bank of America subsidiaries have agreed to pay a total of $515m (£277m) to settle an investigation into fraudulent trading share practices. The US Securities and Exchange Commission announced the settlements, the latest in an industry-wide clean-up of US mutual funds. The SEC also said it had brought fraud charges against two ex-senior executives of Columbia Distributor. Columbia Distributor was part of FleetBoston, bought by BOA last year. Three other ex-Columbia executives agreed settlements with the SEC. The SEC has set itself the task of stamping out the mutual funds' use of market-timing, a form of quick-fire, short-term share trading that harms the interests of small investors, with whom mutual funds are particularly popular. In the last two years, it has imposed penalties totalling nearly $2bn on 15 funds. The SEC unveiled two separate settlements, one covering BOA direct subsidiaries, and another for businesses that were part of FleetBoston at the time. In both cases, it said there had been secret deals to engage in market timing in mutual fund shares. The SEC agreed a deal totalling $375m with Banc of America Capital Management, BACAP Distributors and Banc of America Securities. It was made up of $250m to pay back gains from market timing, and $125m in penalties. It is to be paid to the damaged funds and their shareholders. Separately, the SEC said it had reached a $140m deal - equally split between penalties and compensation - in its probe into Columbia Management Advisors (CAM) and Columbia Funds Distributor (CFD) and three ex-Columbia executives. These businesses became part of BOA when it snapped up rival bank FleetBoston in a $47bn merger last March. The SEC filed civil fraud charges in a Boston Federal court against James Tambone, who it says headed CFD sales operations, and his alleged second in command Robert Hussey. The SEC is pressing for the highest tier of financial penalties against the pair for multiple violations, repayment of any personal gains, and an injunction to prevent future breaches, a spokeswoman for the SEC Boston office told the BBC. There was no immediate comment from the men' lawyers. The SEC settlement with CAM and CFD included agreements with three other ex-managers, Peter Martin, Erik Gustafson and Joseph Palombo, who paid personal financial penalties of between $50-100,000.",business,386,talk.politics.misc
7,"US seeks new $280bn smoker ruling The US Justice Department is to try to overturn a court ruling that threw out its claim for $280bn (£149bn) in damages from tobacco firms. Earlier this month, a three-judge appeal court panel rejected the claim - filed in 1999 by the administration of Bill Clinton - in a 2-1 decision. Government lawyers said they would ask the full US Court of Appeals for the District of Columbia to hear the case. The court room battle is seen as key in government attempts to fight smoking. It pretty clear that they've suffered a severe setback, said Anthony Sebok, a professor at Brooklyn Law School, adding that the appeal was what the government would be expected to ask for. Prosecutors had argued that tobacco firms lied about the dangers of smoking, ignored research that highlighted problems, looked to increase addiction by manipulating nicotine levels and targeted the young with their adverts. Among the firms accused were Altria Group, RJ Reynolds Tobacco, Lorillard Tobacco, Liggett Group and Brown and Williamson. Prosecutors went after the companies using legislation put in place to fight organised crime, and accused the firms of conspiring and running Racketeer Influenced and Corrupt Organisations. The tobacco companies denied the charges, saying that they never illegally conspired to promote smoking and fool the public. They also said that they have met many of the government demands laid out in a landmark $206bn settlement hammered out in 1998 with 46 states. A three-judge panel agreed with the companies, finding that the case could not be brought under federal anti-racketeering laws. Central to the government case was a meeting in the Plaza Hotel, New York, on 15 December, 1953. Prosecutors contend that executives from the major tobacco firms met and agreed to present a unified strategy denying the harmful effects of smoking. Despite denying for decades that smoking could be linked to illness, the companies have modified their stances in recent years. Altria Philip Morris now accepts that nicotine is harmful, and the company main lawyer William Ohlemeyer told the BBC last year that earlier statements may have been wrong but they were not dishonest. Government lawyers have until 21 March to file their appeal.",business,369,talk.politics.misc
11,"UK bank seals South Korean deal UK-based bank Standard Chartered said it would spend $3.3bn (£1.8bn) to buy one of South Korea main retail banks. Standard Chartered said acquiring Korea First Bank (KFB) fulfilled a strategic objective of building a bigger presence in Asia third largest economy. Its shares fell nearly 3% in London as the bank raised funds for the deal by selling new stocks worth £1bn ($1.8bn), equal to 10% of its share capital. Standard Chartered expects about 16% of future group revenue to come from KFB. The South Korean bank will also make up 22% of the group total assets. The move, a year after Citigroup beat Standard Chartered to buy Koram bank, would be the South Korean financial sector biggest foreign takeover. This time around, Standard Chartered is thought to have beaten HSBC to the deal. KFB is South Korea seventh largest bank, with 3 million retail customers, 6% of the country banking market and an extensive branch network. The country banking market is three times the size of Hong Kong with annual revenues of $44bn. Standard Chartered has its headquarters in London but does two thirds of its business in Asia, and much of the rest in Africa. We're comfortable with the price paid...the key here has been speed and decisiveness in making sure that we won, said Standard Chartered chief executive Mervyn Davies at a London press conference. Standard Chartered said KFB was a well-managed, conservatively run bank with a highly skilled workforce and represented a significant acquisition in a growth market. In London, Standard Chartered sale of 118 million new shares to institutional investors pushed its share price down, and contributing to the FTSE 100 0.3% decline. Standard Chartered shares were 28 pence lower at 925p by midday. Some analysts also queried whether Standard Chartered had overpaid for KFB. The deal, which requires regulatory approval, is expected to be completed by April 2005 and to be earnings accretive in 2006, Standard Chartered said. Rival banking giant HSBC, which is based in London and Hong Kong, was also in the running. Standard Chartered is believed to have gained the initiative by putting together a bid during the Christmas break. They were able to move so quickly it caught HSBC by surprise, the Financial Times newspaper quoted an insider in the talks as saying. HSBC will now have to wait for the next South Korean bank in line to be sold off - thought likely to be Korea Exchange Bank, also currently in the hands of a US group. Standard Chartered said it was buying 100% of KFB, an agreement that would bring an end to the bank complex dual ownership. The South Korean government owns 51.4% of KFB, while the remaining shareholding, and operational control, are in the hands of US private equity group Newbridge Capital. Newbridge bought its stake during the government nationalisation of several banks in the wake of the 1997 Asia-wide currency crisis which crippled South Korea financial institutions. South Korea economy is expected to grow by 4.5% this year. Although often thought of an export-driven economy, South Korea service sector has overtaken manufacturing in the last decade or so. Services now make up roughly 40% of the economy, and consumer spending and retail banking have become increasingly important. In the aftermath of the Asian financial crisis, the government encouraged the growth of consumer credit. Bad loan problems followed; LG Card, the country biggest credit card provider, has been struggling to avoid bankruptcy for months, for instance. But analysts believe South Korea financial services industry is still in its infancy, offering plenty of scope for new products. Standard Chartered sees the opportunity to create value by the introduction of more sophisticated banking products. Since 1999, KFB has been restructured from a wholesale bank into a retail bank focused on mortgage lending, which makes up 45% of its loans.",business,647,talk.politics.misc
14,"US adds more jobs than expected The US economy added 337,000 jobs in October - a seven-month high and far more than Wall Street expectations. In a welcome economic boost for newly re-elected President George W Bush, the Labor Department figures come after a slow summer of weak jobs gains. Jobs were created in every sector of the US economy except manufacturing. While the separate unemployment rate went up to 5.5% from 5.4% in September, this was because more people were now actively seeking work. The 337,000 new jobs added to US payrolls in October was twice the 169,000 figure that Wall Street economists had forecast. In addition, the Labor Department revised up the number of jobs created in the two previous months - to 139,000 in September instead of 96,000, and to 198,000 in August instead of 128,000. The better than expected jobs data had an immediate upward effect on stocks in New York, with the main Dow Jones index gaining 45.4 points to 10,360 by late morning trading. It looks like the job situation is improving and that this will support consumer spending going into the holidays, and offset some of the drag caused by high oil prices this year, said economist Gary Thayer of AG Edwards & Sons. Other analysts said the upbeat jobs data made it more likely that the US Federal Reserve would increase interest rates by a quarter of a percentage point to 2% when it meets next week. It should empower the Fed to clearly do something, said Robert MacIntosh, chief economist with Eaton Vance Management in Boston. Kathleen Utgoff, commissioner of the Bureau of Labor, said many of the 71,000 new construction jobs added in October were involved in rebuilding and clean-up work in Florida, and neighbouring Deep South states, following four hurricanes in August and September. The dollar rose temporarily on the job creation news before falling back to a new record low against the euro, as investors returned their attention to other economic factors, such as the US record trade deficit. There is also speculation that President Bush will deliberately try to keep the dollar low in order to assist a growth in exports.",business,364,talk.politics.misc
15,"House prices show slight increase Prices of homes in the UK rose a seasonally adjusted 0.5% in February, says the Nationwide building society. The figure means the annual rate of increase in the UK is down to 10.2%, the lowest rate since June 2001. The annual rate has halved since August last year, as interest rises have cooled the housing market. At the same time, the number of mortgage approvals fell in January to a near 10-year low, official Bank of England figures have shown. Nationwide said that in January house prices went up by 0.4% on the month and by 12.6% on a year earlier. We are not seeing the market collapsing in the way some had feared, said Nationwide economist Alex Bannister. There have been a number of warnings that the UK housing market may be heading for a downturn after four years of strong growth to 2004. In November, Barclays, which owns former building society the Woolwich, forecast an 8% fall in property prices in 2005, followed by further declines in 2006 and 2007. And last summer, economists at PricewaterhouseCoopers (PWC) warned house prices were overvalued and could fall by between 10% and 15% by 2009. The price of an average UK property now stands at £152,879. Homeowners now expect house prices to rise by 1% over the next six months, Mr Bannister said. He said if the growth continued at this level then the Bank of England may increase interest rates from their current 4.75%. I think the key is what the Bank expects to happen to the housing market. We always thought we would see a small rise, they thought they would see a small decline. House prices have risen 0.9% this year, Nationwide said, and if this pace of increase persists, prices would rise by just under 6% in the year to December. This is slightly above the 0-5% range Nationwide predicts. Further evidence of a slowdown in the housing market emerged from Bank of England lending figures released on Tuesday. New mortgage loans in January fell to 79,000 from 82,000 in December, the bank said. The past few months have seen approvals fall to levels last seen in 1995. The Bank revealed that 48,000 fewer mortgages were approved in January than for the same month in 2004. Overall, mortgage lending rose by £7.2bn in January, marginally up on the £7.1bn rise in December.",business,400,talk.politics.misc
17,"Asian quake hits European shares Shares in Europe leading reinsurers and travel firms have fallen as the scale of the damage wrought by tsunamis across south Asia has become apparent. More than 23,000 people have been killed following a massive underwater earthquake and many of the worst hit areas are popular tourist destinations. Reisurance firms such as Swiss Re and Munich Re lost value as investors worried about rebuilding costs. But the disaster has little impact on stock markets in the US and Asia. Currencies including the Thai baht and Indonesian rupiah weakened as analysts warned that economic growth may slow. It came at the worst possible time, said Hans Goetti, a Singapore-based fund manager. The impact on the tourist industry is pretty devastating, especially in Thailand. Travel-related shares dropped in Europe, with companies such as Germany TUI and Lufthansa and France Club Mediterranne sliding. Insurers and reinsurance firms were also under pressure in Europe. Shares in Munich Re and Swiss Re - the world two biggest reinsurers - both fell 1.7% as the market speculated about the cost of rebuilding in Asia. Zurich Financial, Allianz and Axa also suffered a decline in value. However, their losses were much smaller, reflecting the market view that reinsurers were likely to pick up the bulk of the costs. Worries about the size of insurance liabilities dragged European shares down, although the impact was exacerbated by light post-Christmas trading. Germany benchmark Dax index closed the day 16.29 points lower at 3.817.69 while France Cac index of leading shares fell 5.07 points to 3.817.69. Investors pointed out, however, that declines probably would be industry specific, with the travel and insurance firms hit hardest. It still too early for concrete damage figures, Swiss Re spokesman Floiran Woest told Associated Press. That also has to do with the fact that the damage is very widely spread geographically. The unfolding scale of the disaster in south Asia had little immediate impact on US shares, however. The Dow Jones index had risen 20.54 points, or 0.2%, to 10,847.66 by late morning as analsyts were cheered by more encouraging reports from retailers about post-Christmas sales. In Asian markets, adjustments were made quickly to account for lower earnings and the cost of repairs. Thai Airways shed almost 4%. The country relies on tourism for about 6% of its total economy. Singapore Airlines dropped 2.6%. About 5% of Singapore annual gross domestic product (GDP) comes from tourism. Malaysia budget airline, AirAsia fell 2.9%. Resort operator Tanco Holdings slumped 5%. Travel companies also took a hit, with Japan Kinki Nippon sliding 1.5% and HIS dropping 3.3%. However, the overall impact on Asia largest stock market, Japan Nikkei, was slight. Shares fell just 0.03%. Concerns about the strength of economic growth going forward weighed on the currency markets. The Indonesian rupiah lost as much as 0.6% against the US dollar, before bouncing back slightly to trade at 9,300. The Thai baht lost 0.3% against the US currency, trading at 39.10. In India, where more than 2,000 people are thought to have died, the rupee shed 0.1% against the dollar Analysts said that it was difficult to predict the total cost of the disaster and warned that share prices and currencies would come under increasing pressure as the bills mounted.",business,546,talk.politics.misc
21,"China suspends 26 power projects China has ordered a halt to construction work on 26 big power stations, including two at the Three Gorges Dam, on environmental grounds. The move is a surprising one because China is struggling to increase energy supplies for its booming economy. Last year 24 provinces suffered black outs. The State Environmental Protection Agency said the 26 projects had failed to do proper environmental assessments. Topping the list was a controversial dam on the scenic upper Yangtze River. Construction of these projects has started without approval of the assessment of their environmental impact... they are typical illegal projects of construction first, approval next, said SEPA vice-director Pan Yue, in a statement on the agency website. Some of the projects may be allowed to start work again with the proper permits, but others would be cancelled, he said. Altogether, the agency ordered 30 projects halted. Other projects included a petrochemicals plant and a port in Fujian. The bulk of the list was made up of new power plants, with some extensions to existing ones. The stoppages would appear to be another step in the central government battle to control projects licensed by local officials. However, previous crackdowns have tended to focus on projects for which the government argued there was overcapacity, such as steel and cement. The government has encouraged construction of new electricity generating capacity to solve chronic energy shortages which forced many factories onto part-time working last year. In 2004, China increased its generating capacity by 12.6%, or 440,700 megawatts (MW). The biggest single project to be halted was the Xiluodi Dam project, designed to produce 12,600 MW of electricity. It is being built on the Jinshajiang - or 'river of golden sand' as the upper reaches of the Yangtze are known. Second and third on the agency list were two power stations being built at the $22bn Three Gorges Dam project on the central Yangtze - an underground 4,200 MW power plant and a 100 MW plant. The Three Gorges Dam has proved controversial in China - where more than half a million people have been relocated to make way for it - and abroad. It has drawn criticism from environmental groups and overseas human rights activists. The damming of the Upper Yangtze has also begun to attract criticism from environmentalists in China. In April 2004, central government officials ordered a halt to work on the nearby Nu River, which is part of a United Nations world heritage site, the Three Parallel Rivers site which covers the Yangtze, Mekong and Nu (also known as the Salween), according to the UK-published China Review. That move reportedly followed a protest from the Thai government about the downstream impact of the dams, and a critical documentary made by Chinese journalists. China energy shortage influenced global prices for oil, coal and shipping last year.",business,476,talk.politics.misc
22,"High fuel prices hit BA profits British Airways has blamed high fuel prices for a 40% drop in profits. Reporting its results for the three months to 31 December 2004, the airline made a pre-tax profit of £75m ($141m) compared with £125m a year earlier. Rod Eddington, BA chief executive, said the results were respectable in a third quarter when fuel costs rose by £106m or 47.3%. BA profits were still better than market expectation of £59m, and it expects a rise in full-year revenues. To help offset the increased price of aviation fuel, BA last year introduced a fuel surcharge for passengers. In October, it increased this from £6 to £10 one-way for all long-haul flights, while the short-haul surcharge was raised from £2.50 to £4 a leg. Yet aviation analyst Mike Powell of Dresdner Kleinwort Wasserstein says BA estimated annual surcharge revenues - £160m - will still be way short of its additional fuel costs - a predicted extra £250m. Turnover for the quarter was up 4.3% to £1.97bn, further benefiting from a rise in cargo revenue. Looking ahead to its full year results to March 2005, BA warned that yields - average revenues per passenger - were expected to decline as it continues to lower prices in the face of competition from low-cost carriers. However, it said sales would be better than previously forecast. For the year to March 2005, the total revenue outlook is slightly better than previous guidance with a 3% to 3.5% improvement anticipated, BA chairman Martin Broughton said. BA had previously forecast a 2% to 3% rise in full-year revenue. It also reported on Friday that passenger numbers rose 8.1% in January. Aviation analyst Nick Van den Brul of BNP Paribas described BA latest quarterly results as pretty modest. It is quite good on the revenue side and it shows the impact of fuel surcharges and a positive cargo development, however, operating margins down and cost impact of fuel are very strong, he said. Since the 11 September 2001 attacks in the United States, BA has cut 13,000 jobs as part of a major cost-cutting drive. Our focus remains on reducing controllable costs and debt whilst continuing to invest in our products, Mr Eddington said. For example, we have taken delivery of six Airbus A321 aircraft and next month we will start further improvements to our Club World flat beds. BA shares closed up four pence at 274.5 pence.",business,406,talk.politics.misc
26,"US trade deficit widens sharply The gap between US exports and imports has widened to more than $60bn (£31.7bn), an all-time record. Figures from the Commerce Department for November showed exports down 2.3% to $95.6bn, while imports grew 1.3% to $155.8bn on rising consumer demand. Part of the expanding deficit came from high prices for oil imports. But the numbers suggested the sliding dollar - which makes exports less expensive - has had little impact, and could indicate slowing economic growth. The trade deficit - far bigger than the $54bn widely expected on Wall Street - prompted a rapid response from the currency markets. By 1650 GMT, the dollar was trading against the euro at $1.3280, almost a cent and a half weaker than before the announcement. Against the pound, the dollar was down about 0.7% at $1,8923. The dollar fall has been sudden, violent and appropriate given this number, said Brian Taylor of Wells Fargo in Minneapolis. Recent exchange rate movements certainly haven't had any impact yet. Treasury Secretary John Snow put a brave face on the news, saying it was a sign of strong economic expansion. The economy is growing at such a fast rate that it is generating lots of disposable income... some of which is used to buy goods from our trading partners. Although the White House officially still backs the US traditional strong dollar policy, it has tacitly indicated that it would be happy if the slide continued. The dollar has fallen by 50% against the euro - as well as by 30% against the yen - in the past three years. The main catalyst, most economists accept, is the large budget deficit on the one hand, and the current account deficit - the difference between the flow of money in and out of the US - on the other. The trade deficit is a large part of the latter. In November, the fall in exports was largely due to a decline in sales of industrial supplies and materials such as chemicals, as well as of cars, consumer goods and food. One small bright spot for US policy-makers was a slight decline in the deficit with China, often blamed for job losses and other economic woes. Although China overall trade surplus is expanding, according to Chinese government figures, the Commerce Department revealed the US deficit with China was $19.6bn in November, down from $19.7bn the month before. But the deficit with Japan was at its worst in more than four years.",business,416,talk.politics.misc
